Year,Artist,Title,Genre,Streams(Millions)
2016,The Chainsmokers,Closer,Future Bass,2873
2017,The Chainsmokers,Something Just Like This,Future Bass,2588
,Dua Lipa,Don't Start Now,Nu-Disco,2458
2013,Avicii,Wake Me Up,Festival Progressive House,2266
2018,Marshmello,Happier,Future Bass,2139
2018,Calvin Harris,One Kiss,Garage House,2125
2016,DJ Snake,Let Me Love You,Tropical House,2118
2015,Major Lazer,Lean On,Moombahton,2052
2015,Alan Walker,Faded,Electro House,2026
,Justin Bieber,Sorry,Tropical House,1978
2021,PNAU,Cold Heart,Deep House,1974
2021,PNAU,Cold Heart,Nu-Disco,1974
,Dua Lipa,Levitating,Nu-Disco,1953
2019,Imanbek,Roses,Slap House,1949
2016,Seeb,I Took A Pill In Ibiza,Tropical House,1915
2016,The Chainsmokers,Don't Let Me Down,Trap,1870
2021,Doja Cat,Kiss Me More,Nu-Disco,1798
2022,David Guetta,I'm Good (Blue),Electro House,1753
2015,Avicii,The Nights,Festival Progressive House,1730
2011,Rihanna,We Found Love,Electro House,1720
2010,Don Omar,Danza Kuduro,Electro Latino,1699
2016,Calvin Harris,This Is What You Came For,Future House,1694
2011,David Guetta,Titanium,Electro House,1674
2022,Bizarrap,Quédate,Hip House,1671
2017,Drake,Passionfruit,Deep House,1642
2017,Drake,Passionfruit,Tropical House,1642
,The Weeknd,I Feel It Coming,Nu-Disco,1640
2014,Felix Jaehn,Cheerleader,Tropical House,1636
2011,David Guetta,Titanium,Festival Progressive House,1614
2021,Doja Cat,Woman,Afropiano,1603
2017,Marshmello,Silence,Future Bass,1588
2011,Rihanna,We Found Love,Festival Progressive House,1587
2023,Jung Kook,Seven,2-Step,1577
2018,DJ Snake,Taki Taki,Moombahton,1560
2014,Calvin Harris,Summer,Electro House,1556
2018,Marshmello,Silence,Trap,1554
2022,Sam Smith,Unholy,Trap,1524
,Justin Bieber,What Do You Mean?,Tropical House,1514
2016,Clean Bandit,Rockabye,Tropical House,1509
2018,Zedd,The Middle,Future Bass,1501
2017,Clean Bandit,Symphony,Tropical House,1496
,Coldplay,A Sky Full Of Stars,Festival Progressive House,1480
2021,Farruko,Pepas,Guaracha,1473
2017,J Balvin,Mi Gente,Moombahton,1465
2018,Dynoro,In My Mind,Slap House,1460
2016,Martin Garrix,In The Name Of Love,Future Bass,1449
2014,Calvin Harris,Summer,Festival Progressive House,1439
2013,Katy Perry,Dark Horse,Trap,1417
